constructorStandingsId,raceId,constructorId,points,position,positionText,wins
1,65,8,8,1,1,1
2,65,6,6,2,2,0
3,65,4,3,3,3,0
4,66,8,16,1,1,2
5,66,6,12,2,2,0
6,66,4,3,3,3,0
7,66,33,2,4,4,0
8,66,55,0,5,5,0
9,66,46,0,6,6,0
10,66,40,0,7,7,0
11,66,34,0,8,8,0
12,67,8,19,1,1,2
13,67,6,14,2,2,0
14,67,46,8,3,3,1
15,67,33,8,4,4,0
16,67,4,3,5,5,0
17,67,55,0,6,6,0
18,67,54,0,7,7,0
19,67,40,0,8,8,0
20,67,34,0,9,9,0
21,68,8,19,1,1,2
22,68,6,14,2,2,0
23,68,46,8,3,3,1
24,68,33,8,4,4,0
25,68,4,3,5,5,0
26,68,55,0,6,6,0
27,68,54,0,7,7,0
28,68,40,0,8,8,0
29,68,34,0,9,9,0
30,69,6,20,1,1,0
31,69,8,19,2,2,2
32,69,46,16,3,3,2
33,69,33,10,4,4,0
34,69,4,3,5,5,0
35,69,55,3,6,6,0
36,69,54,0,7,7,0
37,69,40,0,8,8,0
38,69,34,0,9,9,0
39,70,6,28,1,1,1
40,70,46,22,2,2,2
41,70,8,19,3,3,2
42,70,33,10,4,4,0
43,70,4,6,5,5,0
44,70,55,3,6,6,0
45,70,54,0,7,7,0
46,70,40,0,8,8,0
47,70,34,0,9,9,0
48,71,6,36,1,1,2
49,71,46,25,2,2,2
50,71,8,23,3,3,2
51,71,33,12,4,4,0
52,71,4,6,5,5,0
53,71,55,3,6,6,0
54,71,54,0,7,7,0
55,71,40,0,8,8,0
56,71,34,0,9,9,0
57,72,6,37,1,1,2
58,72,46,33,2,2,3
59,72,8,29,3,3,2
60,72,33,12,4,4,0
61,72,4,6,5,5,0
62,72,55,3,6,6,0
63,72,54,0,7,7,0
64,72,40,0,8,8,0
65,72,34,0,9,9,0
66,73,46,41,1,1,4
67,73,6,40,2,2,2
68,73,8,29,3,3,2
69,73,33,15,4,4,0
70,73,4,6,5,5,0
71,73,55,3,6,6,0
72,73,54,0,7,7,0
73,73,40,0,8,8,0
74,73,34,0,9,9,0
75,74,46,46,1,1,5
76,74,6,40,2,2,2
77,74,8,31,3,3,2
78,74,33,15,4,4,0
79,74,4,6,5,5,0
80,74,55,3,6,6,0
81,74,54,0,7,7,0
82,74,40,0,8,8,0
83,74,34,0,9,9,0
84,75,46,48,1,1,6
85,75,6,40,2,2,2
86,75,8,31,3,3,2
87,75,33,18,4,4,0
88,75,4,6,5,5,0
89,75,55,3,6,6,0
90,75,54,0,7,7,0
91,75,40,0,8,8,0
92,75,34,0,9,9,0
93,76,56,8,1,1,1
94,76,6,6,2,2,0
95,76,57,0,3,3,0
96,76,33,0,4,4,0
97,76,55,0,5,5,0
98,76,54,0,6,6,0
99,76,4,0,7,7,0
100,77,56,8,1,1,1
101,77,6,6,2,2,0
102,77,57,0,3,3,0
103,77,33,0,4,4,0
104,77,55,0,5,5,0
105,77,54,0,6,6,0
106,77,4,0,7,7,0
107,78,56,14,1,1,1
108,78,33,8,2,2,1
109,78,6,8,3,3,0
110,78,55,3,4,4,0
111,78,57,0,5,5,0
112,78,54,0,6,6,0
113,78,61,0,7,7,0
114,78,4,0,8,8,0
115,79,56,18,1,1,1
116,79,6,16,2,2,1
117,79,33,8,3,3,1
118,79,55,3,4,4,0
119,79,57,0,5,5,0
120,79,4,0,6,6,0
121,79,54,0,7,7,0
122,79,61,0,8,8,0
123,80,56,26,1,1,2
124,80,6,16,2,2,1
125,80,33,14,3,3,1
126,80,55,3,4,4,0
127,80,61,0,5,5,0
128,80,57,0,6,6,0
129,80,4,0,7,7,0
130,80,62,0,8,8,0
131,80,54,0,9,9,0
132,80,63,0,10,10,0
133,80,46,0,11,11,0
134,80,64,0,12,12,0
135,81,56,29,1,1,2
136,81,6,24,2,2,2
137,81,33,16,3,3,1
138,81,55,3,4,4,0
139,81,57,0,5,5,0
140,81,61,0,6,6,0
141,81,4,0,7,7,0
142,81,62,0,8,8,0
143,81,54,0,9,9,0
144,81,63,0,10,10,0
145,81,46,0,11,11,0
146,81,64,0,12,12,0
147,82,56,34,1,1,3
148,82,6,28,2,2,2
149,82,33,18,3,3,1
150,82,55,3,4,4,0
151,82,61,0,5,5,0
152,82,57,0,6,6,0
153,82,4,0,7,7,0
154,82,62,0,8,8,0
155,82,54,0,9,9,0
156,82,63,0,10,10,0
157,82,46,0,11,11,0
158,82,64,0,12,12,0
159,83,56,38,1,1,4
160,83,6,32,2,2,2
161,83,33,18,3,3,1
162,83,55,3,4,4,0
163,83,61,0,5,5,0
164,83,57,0,6,6,0
165,83,4,0,7,7,0
166,83,62,0,8,8,0
167,83,54,0,9,9,0
168,83,63,0,10,10,0
169,83,46,0,11,11,0
170,83,64,0,12,12,0
171,84,56,40,1,1,5
172,84,6,32,2,2,2
173,84,33,18,3,3,1
174,84,55,5,4,4,0
175,84,61,0,5,5,0
176,84,57,0,6,6,0
177,84,9,0,7,7,0
178,84,54,0,8,8,0
179,84,4,0,9,9,0
180,84,62,0,10,10,0
181,84,65,0,11,11,0
182,84,66,0,12,12,0
183,84,40,0,13,13,0
184,84,63,0,14,14,0
185,84,46,0,15,15,0
186,84,64,0,16,16,0
187,85,56,8,1,1,1
188,85,6,6,2,2,0
189,85,57,3,3,3,0
190,85,55,1,4,4,0
191,85,33,0,5,5,0
192,85,67,0,6,6,0
193,85,4,0,7,7,0
194,86,56,14,1,1,1
195,86,6,10,2,2,0
196,86,55,9,3,3,1
197,86,57,3,4,4,0
198,86,33,2,5,5,0
199,86,67,0,6,6,0
200,86,4,0,7,7,0
201,86,63,0,8,8,0
202,86,68,0,9,9,0
203,86,69,0,10,10,0
204,87,56,14,1,1,1
205,87,6,10,2,2,0
206,87,55,9,3,3,1
207,87,57,3,4,4,0
208,87,33,2,5,5,0
209,87,67,0,6,6,0
210,87,4,0,7,7,0
211,87,63,0,8,8,0
212,87,68,0,9,9,0
213,87,69,0,10,10,0
214,88,56,22,1,1,2
215,88,55,15,2,2,1
216,88,6,12,3,3,0
217,88,33,6,4,4,0
218,88,57,3,5,5,0
219,88,67,0,6,6,0
220,88,4,0,7,7,0
221,88,61,0,8,8,0
222,88,63,0,9,9,0
223,88,68,0,10,10,0
224,88,69,0,11,11,0
225,89,56,30,1,1,3
226,89,55,17,2,2,1
227,89,6,15,3,3,0
228,89,33,6,4,4,0
229,89,57,3,5,5,0
230,89,67,0,6,6,0
231,89,4,0,7,7,0
232,89,68,0,8,8,0
233,89,61,0,9,9,0
234,89,63,0,10,10,0
235,89,69,0,11,11,0
236,90,56,38,1,1,4
237,90,55,19,2,2,1
238,90,6,15,3,3,0
239,90,33,6,4,4,0
240,90,57,3,5,5,0
241,90,67,0,6,6,0
242,90,4,0,7,7,0
243,90,68,0,8,8,0
244,90,69,0,9,9,0
245,90,61,0,10,10,0
246,90,46,0,11,11,0
247,90,63,0,12,12,0
248,91,56,46,1,1,5
249,91,55,25,2,2,1
250,91,6,16,3,3,0
251,91,33,6,4,4,0
252,91,57,3,5,5,0
253,91,61,0,6,6,0
254,91,67,0,7,7,0
255,91,4,0,8,8,0
256,91,63,0,9,9,0
257,91,69,0,10,10,0
258,91,68,0,11,11,0
