constructorStandingsId,raceId,constructorId,points,position,positionText,wins
1,1.0,8,8.0,1,1,1
2,1.0,6,6.0,2,2,0
3,1.0,4,3.0,3,3,0
4,2.0,8,16.0,1,1,2
5,2.0,6,12.0,2,2,0
6,2.0,4,3.0,3,3,0
7,2.0,33,2.0,4,4,0
8,2.0,55,0.0,5,5,0
9,2.0,46,0.0,6,6,0
10,2.0,40,0.0,7,7,0
11,2.0,34,0.0,8,8,0
12,3.0,8,19.0,1,1,2
13,3.0,6,14.0,2,2,0
14,3.0,46,8.0,3,3,1
15,3.0,33,8.0,4,4,0
16,3.0,4,3.0,5,5,0
17,3.0,55,0.0,6,6,0
18,3.0,54,0.0,7,7,0
19,3.0,40,0.0,8,8,0
20,3.0,34,0.0,9,9,0
21,4.0,8,19.0,1,1,2
22,4.0,6,14.0,2,2,0
23,4.0,46,8.0,3,3,1
24,4.0,33,8.0,4,4,0
25,4.0,4,3.0,5,5,0
26,4.0,55,0.0,6,6,0
27,4.0,54,0.0,7,7,0
28,4.0,40,0.0,8,8,0
29,4.0,34,0.0,9,9,0
30,5.0,6,20.0,1,1,0
31,5.0,8,19.0,2,2,2
32,5.0,46,16.0,3,3,2
33,5.0,33,10.0,4,4,0
34,5.0,4,3.0,5,5,0
35,5.0,55,3.0,6,6,0
36,5.0,54,0.0,7,7,0
37,5.0,40,0.0,8,8,0
38,5.0,34,0.0,9,9,0
39,6.0,6,28.0,1,1,1
40,6.0,46,22.0,2,2,2
41,6.0,8,19.0,3,3,2
42,6.0,33,10.0,4,4,0
43,6.0,4,6.0,5,5,0
44,6.0,55,3.0,6,6,0
45,6.0,54,0.0,7,7,0
46,6.0,40,0.0,8,8,0
47,6.0,34,0.0,9,9,0
48,7.0,6,36.0,1,1,2
49,7.0,46,25.0,2,2,2
50,7.0,8,23.0,3,3,2
51,7.0,33,12.0,4,4,0
52,7.0,4,6.0,5,5,0
53,7.0,55,3.0,6,6,0
54,7.0,54,0.0,7,7,0
55,7.0,40,0.0,8,8,0
56,7.0,34,0.0,9,9,0
57,,6,37.0,1,1,2
58,,46,33.0,2,2,3
59,,8,29.0,3,3,2
60,,33,12.0,4,4,0
61,,4,6.0,5,5,0
62,,55,3.0,6,6,0
63,,54,0.0,7,7,0
64,,40,0.0,8,8,0
65,,34,0.0,9,9,0
66,,46,41.0,1,1,4
67,,6,40.0,2,2,2
68,,8,29.0,3,3,2
69,,33,15.0,4,4,0
70,,4,6.0,5,5,0
71,,55,3.0,6,6,0
72,,54,0.0,7,7,0
73,,40,0.0,8,8,0
74,,34,0.0,9,9,0
75,,46,46.0,1,1,5
76,,6,40.0,2,2,2
77,,8,31.0,3,3,2
78,,33,15.0,4,4,0
79,,4,6.0,5,5,0
80,,55,3.0,6,6,0
81,,54,0.0,7,7,0
82,,40,0.0,8,8,0
83,,34,0.0,9,9,0
84,,46,48.0,1,1,6
85,,6,40.0,2,2,2
86,,8,31.0,3,3,2
87,,33,18.0,4,4,0
88,,4,6.0,5,5,0
89,,55,3.0,6,6,0
90,,54,0.0,7,7,0
91,,40,0.0,8,8,0
92,,34,0.0,9,9,0
93,8.0,56,8.0,1,1,1
94,8.0,6,6.0,2,2,0
95,8.0,57,0.0,3,3,0
96,8.0,33,0.0,4,4,0
97,8.0,55,0.0,5,5,0
98,8.0,54,0.0,6,6,0
99,8.0,4,0.0,7,7,0
100,9.0,56,8.0,1,1,1
101,9.0,6,6.0,2,2,0
102,9.0,57,0.0,3,3,0
103,9.0,33,0.0,4,4,0
104,9.0,55,0.0,5,5,0
105,9.0,54,0.0,6,6,0
106,9.0,4,0.0,7,7,0
107,10.0,56,14.0,1,1,1
108,10.0,33,8.0,2,2,1
109,10.0,6,8.0,3,3,0
110,10.0,55,3.0,4,4,0
111,10.0,57,0.0,5,5,0
112,10.0,54,0.0,6,6,0
113,10.0,61,0.0,7,7,0
114,10.0,4,0.0,8,8,0
115,11.0,56,18.0,1,1,1
116,11.0,6,16.0,2,2,1
117,11.0,33,8.0,3,3,1
118,11.0,55,3.0,4,4,0
119,11.0,57,0.0,5,5,0
120,11.0,4,0.0,6,6,0
121,11.0,54,0.0,7,7,0
122,11.0,61,0.0,8,8,0
123,12.0,56,26.0,1,1,2
124,12.0,6,16.0,2,2,1
125,12.0,33,14.0,3,3,1
126,12.0,55,3.0,4,4,0
127,12.0,61,0.0,5,5,0
128,12.0,57,0.0,6,6,0
129,12.0,4,0.0,7,7,0
130,12.0,62,0.0,8,8,0
131,12.0,54,0.0,9,9,0
132,12.0,63,0.0,10,10,0
133,12.0,46,0.0,11,11,0
134,12.0,64,0.0,12,12,0
135,13.0,56,29.0,1,1,2
136,13.0,6,24.0,2,2,2
137,13.0,33,16.0,3,3,1
138,13.0,55,3.0,4,4,0
139,13.0,57,0.0,5,5,0
