constructorId,constructorRef,name,nationality,url
1,alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
2,lago,Talbot-Lago,French,http://en.wikipedia.org/wiki/Talbot-Lago
3,era,ERA,British,http://en.wikipedia.org/wiki/English_Racing_Automobiles
4,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati
5,alta,Alta,British,http://en.wikipedia.org/wiki/Alta_auto_racing_team
6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
7,simca,Simca,French,http://en.wikipedia.org/wiki/Simca
8,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
9,kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft
10,deidt,Deidt,American,http://en.wikipedia.org/wiki/Deidt
11,moore,Moore,American,http://en.wikipedia.org/wiki/Moore_(constructor)
12,lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky
13,nichels,Nichels,American,http://en.wikipedia.org/wiki/Nichels
14,marchese,Marchese,American,http://en.wikipedia.org/wiki/Marchese_(constructor)
15,stevens,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor)
16,langley,Langley,American,http://en.wikipedia.org/wiki/Langley_(constructor)
17,ewing,Ewing,American,http://en.wikipedia.org/wiki/Ewing_(constructor)
18,rae,Rae,American,http://en.wikipedia.org/wiki/Rae_(motorsport)
19,olson,Olson,American,http://en.wikipedia.org/wiki/Olson_(constructor)
20,wetteroth,Wetteroth,American,http://en.wikipedia.org/wiki/Wetteroth
21,snowberger,Snowberger,American,http://en.wikipedia.org/wiki/Snowberger
22,adams,Adams,American,http://en.wikipedia.org/wiki/Adams_(constructor)
23,milano,Milano,Italian,http://en.wikipedia.org/wiki/Scuderia_Milano
24,hwm,HWM,British,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors
25,veritas,Veritas,German,http://en.wikipedia.org/wiki/Veritas_(constructor)
26,sherman,Sherman,American,http://en.wikipedia.org/wiki/Sherman_(constructor)
27,schroeder,Schroeder,American,http://en.wikipedia.org/wiki/Schroeder_(constructor)
28,kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor)
29,pawl,Pawl,American,http://en.wikipedia.org/wiki/Pawl_(constructor)
30,hall,Hall,American,http://en.wikipedia.org/wiki/Hall_(constructor)
31,bromme,Bromme,American,http://en.wikipedia.org/wiki/Bromme
32,trevis,Trevis,American,http://en.wikipedia.org/wiki/Trevis
33,brm,BRM,British,http://en.wikipedia.org/wiki/BRM
34,osca,OSCA,Italian,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili
35,gordini,Gordini,French,http://en.wikipedia.org/wiki/Gordini
36,frazer_nash,Frazer Nash,British,http://en.wikipedia.org/wiki/Frazer_Nash
37,afm,AFM,German,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau
38,watson,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson
39,butterworth,Aston Butterworth,British,http://en.wikipedia.org/wiki/Aston_Butterworth
40,connaught,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering
41,bmw,BMW,German,http://en.wikipedia.org/wiki/BMW
42,emw,EMW,East German,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk
43,phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor)
44,pankratz,Pankratz,American,http://en.wikipedia.org/wiki/Pankratz
45,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
46,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall
47,klenk,Klenk,German,http://en.wikipedia.org/wiki/Klenk
