driverStandingsId,raceId,driverId,points,position,positionText,wins
1,1,1,9,1,1,1
2,1,2,6,2,2,0
3,1,3,4,3,3,0
4,1,4,3,4,4,0
5,1,5,2,5,5,0
6,1,6,0,6,6,0
7,1,7,0,7,7,0
8,1,8,0,8,8,0
9,1,9,0,9,9,0
10,1,11,0,10,10,0
11,1,10,0,11,11,0
12,1,12,0,12,12,0
13,1,13,0,13,13,0
14,1,14,0,14,14,0
15,1,15,0,15,15,0
16,1,16,0,16,16,0
17,1,17,0,17,17,0
18,1,18,0,18,18,0
19,1,19,0,19,19,0
20,1,20,0,20,20,0
21,1,21,0,21,21,0
22,1,22,0,22,22,0
23,1,23,0,23,23,0
24,2,1,9,1,1,1
25,2,13,9,2,2,1
26,2,2,6,3,3,0
27,2,24,6,4,4,0
28,2,19,4,5,5,0
29,2,3,4,6,6,0
30,2,4,3,7,7,0
31,2,25,3,8,8,0
32,2,5,2,9,9,0
33,2,15,2,10,10,0
34,2,6,0,11,11,0
35,2,12,0,12,12,0
36,2,7,0,13,13,0
37,2,8,0,14,14,0
38,2,9,0,15,15,0
39,2,11,0,16,16,0
40,2,10,0,17,17,0
41,2,26,0,18,18,0
42,2,27,0,19,19,0
43,2,14,0,20,20,0
44,2,28,0,21,21,0
45,2,18,0,22,22,0
46,2,16,0,23,23,0
47,2,17,0,24,24,0
48,2,29,0,25,25,0
49,2,30,0,26,26,0
50,2,20,0,27,27,0
51,2,31,0,28,28,0
52,2,21,0,29,29,0
53,2,22,0,30,30,0
54,3,1,9,1,1,1
55,3,13,9,2,2,1
56,3,34,9,3,3,1
57,3,2,6,4,4,0
58,3,24,6,5,5,0
59,3,35,6,6,6,0
60,3,19,4,7,7,0
61,3,3,4,8,8,0
62,3,36,4,9,9,0
63,3,4,3,10,10,0
64,3,37,3,11,11,0
65,3,25,3,12,12,0
66,3,5,2,13,13,0
67,3,15,2,14,14,0
68,3,39,1,15,15,0
69,3,38,1,16,16,0
70,3,6,0,17,17,0
71,3,40,0,18,18,0
72,3,12,0,19,19,0
73,3,7,0,20,20,0
74,3,41,0,21,21,0
75,3,8,0,22,22,0
76,3,42,0,23,23,0
77,3,9,0,24,24,0
78,3,43,0,25,25,0
