race,driver,quali_pos
Bahrain International Circuit,Lando Norris,13
Bahrain International Circuit,Pierre Gasly,10
Bahrain International Circuit,Mick Schumacher,12
Bahrain International Circuit,Kevin Magnussen,7
Bahrain International Circuit,Esteban Ocon,11
Bahrain International Circuit,Fernando Alonso,8
Bahrain International Circuit,Max Verstappen,2
Bahrain International Circuit,Sergio Pérez,4
Bahrain International Circuit,Yuki Tsunoda,16
Bahrain International Circuit,Nicholas Latifi,20
Bahrain International Circuit,Daniel Ricciardo,18
Bahrain International Circuit,Lance Stroll,19
Bahrain International Circuit,Nico Hülkenberg,17
Bahrain International Circuit,George Russell,9
Bahrain International Circuit,Lewis Hamilton,5
Bahrain International Circuit,Charles Leclerc,1
Bahrain International Circuit,Carlos Sainz,3
Bahrain International Circuit,Alexander Albon,14
Bahrain International Circuit,Guanyu Zhou,15
Bahrain International Circuit,Valtteri Bottas,6
Jeddah Corniche Circuit,Lando Norris,11
Jeddah Corniche Circuit,Pierre Gasly,9
Jeddah Corniche Circuit,Mick Schumacher,0
Jeddah Corniche Circuit,Kevin Magnussen,10
Jeddah Corniche Circuit,Esteban Ocon,5
Jeddah Corniche Circuit,Fernando Alonso,7
Jeddah Corniche Circuit,Max Verstappen,4
Jeddah Corniche Circuit,Sergio Pérez,1
Jeddah Corniche Circuit,Yuki Tsunoda,19
Jeddah Corniche Circuit,Nicholas Latifi,18
Jeddah Corniche Circuit,Daniel Ricciardo,14
Jeddah Corniche Circuit,Lance Stroll,13
Jeddah Corniche Circuit,Nico Hülkenberg,17
Jeddah Corniche Circuit,George Russell,6
Jeddah Corniche Circuit,Lewis Hamilton,15
Jeddah Corniche Circuit,Charles Leclerc,2
Jeddah Corniche Circuit,Carlos Sainz,3
Jeddah Corniche Circuit,Alexander Albon,16
Jeddah Corniche Circuit,Guanyu Zhou,12
Jeddah Corniche Circuit,Valtteri Bottas,8
Albert Park Grand Prix Circuit,Lando Norris,4
Albert Park Grand Prix Circuit,Pierre Gasly,11
Albert Park Grand Prix Circuit,Mick Schumacher,15
