qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
1,549,637,137,2,1,1:15.962,,
2,549,683,162,5,2,1:16.290,,
3,549,667,6,27,3,1:17.385,,
4,549,691,137,0,4,1:17.554,,
5,549,704,176,30,5,1:17.806,,
6,549,675,173,10,6,1:17.866,,
7,549,685,176,29,7,1:17.927,,
8,549,677,114,7,8,1:18.122,,
9,549,703,162,6,9,1:18.183,,
10,549,686,120,3,10,1:18.194,,
11,549,687,173,9,11,1:18.204,,
12,549,678,120,4,12,1:18.246,,
13,549,679,164,20,13,1:18.321,,
14,549,694,172,14,14,1:18.414,,
15,549,641,160,23,15,1:18.659,,
16,549,699,172,15,16,1:18.751,,
17,549,640,6,28,17,1:18.855,,
18,549,633,114,8,18,1:18.864,,
19,549,702,145,26,19,1:19.304,,
20,549,669,145,25,20,1:19.398,,
21,549,664,55,12,21,1:19.483,,
22,549,614,160,24,22,1:19.517,,
23,549,705,164,19,23,1:19.524,,
24,549,697,55,11,24,1:19.975,,
25,549,671,178,34,25,1:20.729,,
26,549,676,177,31,26,1:21.186,,
27,550,637,137,2,1,1:10.218,,
28,550,683,162,5,2,1:10.440,,
29,550,691,137,0,3,1:10.771,,
30,550,677,114,7,4,1:11.683,,
31,550,640,6,28,5,1:11.744,,
32,550,633,114,8,6,1:12.351,,
33,550,654,6,27,7,1:12.372,,
34,550,694,172,14,8,1:12.409,,
35,550,687,173,9,9,1:12.444,,
36,550,703,162,6,10,1:12.554,,
37,550,704,176,30,11,1:12.686,,
38,550,678,120,4,12,1:12.751,,
39,550,675,173,10,13,1:12.866,,
40,550,686,120,3,14,1:13.013,,
41,550,614,160,24,15,1:13.016,,
42,550,679,164,20,16,1:13.111,,
43,550,641,160,23,17,1:13.529,,
44,550,669,145,25,18,1:13.613,,
45,550,685,176,29,19,1:13.855,,
46,550,662,172,15,20,1:13.932,,
47,550,705,164,19,21,1:14.101,,
48,550,702,145,26,22,1:14.106,,
49,550,664,55,12,23,1:14.424,,
50,550,697,55,11,24,1:14.657,,
51,550,676,177,31,25,1:14.748,,
52,550,706,177,32,26,1:16.536,,
53,551,637,137,2,1,1:21.548,,
54,551,683,162,5,2,1:21.885,,
55,551,640,6,28,3,1:22.113,,
56,551,691,137,0,4,1:22.168,,
57,551,673,162,6,5,1:22.717,,
58,551,654,6,27,6,1:22.841,,
59,551,704,176,30,7,1:23.119,,
60,551,677,114,7,8,1:23.140,,
61,551,686,120,3,9,1:23.322,,
62,551,685,176,29,10,1:23.347,,
63,551,675,173,10,11,1:23.663,,
64,551,678,120,4,12,1:23.703,,
65,551,633,114,8,13,1:23.858,,
