raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
1,1950,1,1,British Grand Prix,1950-05-13,,http://en.wikipedia.org/wiki/1950_British_Grand_Prix,,,,,,,,,,
2,1950,2,2,Monaco Grand Prix,1950-05-21,,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix,,,,,,,,,,
3,1950,3,3,Indianapolis 500,1950-05-30,,http://en.wikipedia.org/wiki/1950_Indianapolis_500,,,,,,,,,,
4,1950,4,4,Swiss Grand Prix,1950-06-04,,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,,,,,,,,,,
5,1950,5,5,Belgian Grand Prix,1950-06-18,,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,,,,,,,,,,
6,1950,6,6,French Grand Prix,1950-07-02,,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,,,,,,,,,,
7,1950,7,7,Italian Grand Prix,1950-09-03,,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,,,,,,,,,,
8,1951,1,4,Swiss Grand Prix,1951-05-27,,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,,,,,,,,,,
9,1951,2,3,Indianapolis 500,1951-05-30,,http://en.wikipedia.org/wiki/1951_Indianapolis_500,,,,,,,,,,
10,1951,3,5,Belgian Grand Prix,1951-06-17,,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,,,,,,,,,,
11,1951,4,6,French Grand Prix,1951-07-01,,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,,,,,,,,,,
12,1951,5,1,British Grand Prix,1951-07-14,,http://en.wikipedia.org/wiki/1951_British_Grand_Prix,,,,,,,,,,
13,1951,6,8,German Grand Prix,1951-07-29,,http://en.wikipedia.org/wiki/1951_German_Grand_Prix,,,,,,,,,,
14,1951,7,7,Italian Grand Prix,1951-09-16,,http://en.wikipedia.org/wiki/1951_Italian_Grand_Prix,,,,,,,,,,
15,1951,8,9,Spanish Grand Prix,1951-10-28,,http://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix,,,,,,,,,,
16,1952,1,4,Swiss Grand Prix,1952-05-18,,http://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix,,,,,,,,,,
17,1952,2,3,Indianapolis 500,1952-05-30,,http://en.wikipedia.org/wiki/1952_Indianapolis_500,,,,,,,,,,
18,1952,3,5,Belgian Grand Prix,1952-06-22,,http://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix,,,,,,,,,,
19,1952,4,10,French Grand Prix,1952-07-06,,http://en.wikipedia.org/wiki/1952_French_Grand_Prix,,,,,,,,,,
20,1952,5,1,British Grand Prix,1952-07-19,,http://en.wikipedia.org/wiki/1952_British_Grand_Prix,,,,,,,,,,
21,1952,6,8,German Grand Prix,1952-08-03,,http://en.wikipedia.org/wiki/1952_German_Grand_Prix,,,,,,,,,,
22,1952,7,11,Dutch Grand Prix,1952-08-17,,http://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix,,,,,,,,,,
23,1952,8,7,Italian Grand Prix,1952-09-07,,http://en.wikipedia.org/wiki/1952_Italian_Grand_Prix,,,,,,,,,,
24,1953,1,12,Argentine Grand Prix,1953-01-18,,http://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix,,,,,,,,,,
25,1953,2,3,Indianapolis 500,1953-05-30,,http://en.wikipedia.org/wiki/1953_Indianapolis_500,,,,,,,,,,
26,1953,3,11,Dutch Grand Prix,1953-06-07,,http://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix,,,,,,,,,,
27,1953,4,5,Belgian Grand Prix,1953-06-21,,http://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix,,,,,,,,,,
28,1953,5,6,French Grand Prix,1953-07-05,,http://en.wikipedia.org/wiki/1953_French_Grand_Prix,,,,,,,,,,
29,1953,6,1,British Grand Prix,1953-07-18,,http://en.wikipedia.org/wiki/1953_British_Grand_Prix,,,,,,,,,,
30,1953,7,8,German Grand Prix,1953-08-02,,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,,,,,,,,,,
31,1953,8,4,Swiss Grand Prix,1953-08-23,,http://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix,,,,,,,,,,
32,1953,9,7,Italian Grand Prix,1953-09-13,,http://en.wikipedia.org/wiki/1953_Italian_Grand_Prix,,,,,,,,,,
33,1954,1,12,Argentine Grand Prix,1954-01-17,,http://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix,,,,,,,,,,
34,1954,2,3,Indianapolis 500,1954-05-31,,http://en.wikipedia.org/wiki/1954_Indianapolis_500,,,,,,,,,,
35,1954,3,5,Belgian Grand Prix,1954-06-20,,http://en.wikipedia.org/wiki/1954_Belgian_Grand_Prix,,,,,,,,,,
36,1954,4,6,French Grand Prix,1954-07-04,,http://en.wikipedia.org/wiki/1954_French_Grand_Prix,,,,,,,,,,
37,1954,5,1,British Grand Prix,1954-07-17,,http://en.wikipedia.org/wiki/1954_British_Grand_Prix,,,,,,,,,,
38,1954,6,8,German Grand Prix,1954-08-01,,http://en.wikipedia.org/wiki/1954_German_Grand_Prix,,,,,,,,,,
39,1954,7,4,Swiss Grand Prix,1954-08-22,,http://en.wikipedia.org/wiki/1954_Swiss_Grand_Prix,,,,,,,,,,
40,1954,8,7,Italian Grand Prix,1954-09-05,,http://en.wikipedia.org/wiki/1954_Italian_Grand_Prix,,,,,,,,,,
41,1954,9,9,Spanish Grand Prix,1954-10-24,,http://en.wikipedia.org/wiki/1954_Spanish_Grand_Prix,,,,,,,,,,
42,1955,1,12,Argentine Grand Prix,1955-01-16,,http://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix,,,,,,,,,,
43,1955,2,2,Monaco Grand Prix,1955-05-22,,http://en.wikipedia.org/wiki/1955_Monaco_Grand_Prix,,,,,,,,,,
44,1955,3,3,Indianapolis 500,1955-05-30,,http://en.wikipedia.org/wiki/1955_Indianapolis_500,,,,,,,,,,
45,1955,4,5,Belgian Grand Prix,1955-06-05,,http://en.wikipedia.org/wiki/1955_Belgian_Grand_Prix,,,,,,,,,,
46,1955,5,11,Dutch Grand Prix,1955-06-19,,http://en.wikipedia.org/wiki/1955_Dutch_Grand_Prix,,,,,,,,,,
47,1955,6,13,British Grand Prix,1955-07-16,,http://en.wikipedia.org/wiki/1955_British_Grand_Prix,,,,,,,,,,
48,1955,7,7,Italian Grand Prix,1955-09-11,,http://en.wikipedia.org/wiki/1955_Italian_Grand_Prix,,,,,,,,,,
49,1956,1,12,Argentine Grand Prix,1956-01-22,,http://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix,,,,,,,,,,
50,1956,2,2,Monaco Grand Prix,1956-05-13,,http://en.wikipedia.org/wiki/1956_Monaco_Grand_Prix,,,,,,,,,,
51,1956,3,3,Indianapolis 500,1956-05-30,,http://en.wikipedia.org/wiki/1956_Indianapolis_500,,,,,,,,,,
52,1956,4,5,Belgian Grand Prix,1956-06-03,,http://en.wikipedia.org/wiki/1956_Belgian_Grand_Prix,,,,,,,,,,
53,1956,5,6,French Grand Prix,1956-07-01,,http://en.wikipedia.org/wiki/1956_French_Grand_Prix,,,,,,,,,,
54,1956,6,1,British Grand Prix,1956-07-14,,http://en.wikipedia.org/wiki/1956_British_Grand_Prix,,,,,,,,,,
55,1956,7,8,German Grand Prix,1956-08-05,,http://en.wikipedia.org/wiki/1956_German_Grand_Prix,,,,,,,,,,
56,1956,8,7,Italian Grand Prix,1956-09-02,,http://en.wikipedia.org/wiki/1956_Italian_Grand_Prix,,,,,,,,,,
57,1957,1,12,Argentine Grand Prix,1957-01-13,,http://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix,,,,,,,,,,
58,1957,2,2,Monaco Grand Prix,1957-05-19,,http://en.wikipedia.org/wiki/1957_Monaco_Grand_Prix,,,,,,,,,,
