resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
1,1,1,1,2.0,1,1.0,1,1,9.0,70,2:13:23.6,8003600.0,,,,,1
2,1,2,1,3.0,2,2.0,2,2,6.0,70,+2.6,8006200.0,,,,,1
3,1,3,1,4.0,4,3.0,3,3,4.0,70,+52.0,8055600.0,,,,,1
4,1,4,2,14.0,6,4.0,4,4,3.0,68,,,,,,,2
5,1,5,2,15.0,9,5.0,5,5,2.0,68,,,,,,,2
6,1,6,3,12.0,13,6.0,6,6,0.0,67,,,,,,,3
7,1,7,3,11.0,15,7.0,7,7,0.0,67,,,,,,,3
8,1,8,2,16.0,14,8.0,8,8,0.0,65,,,,,,,4
9,1,9,4,6.0,16,9.0,9,9,0.0,64,,,,,,,5
10,1,10,4,10.0,20,10.0,10,10,0.0,64,,,,,,,5
11,1,11,4,10.0,20,10.0,10,10,0.0,64,,,,,,,5
12,1,12,2,18.0,21,11.0,11,11,0.0,64,,,,,,,5
13,1,13,1,1.0,3,,R,12,0.0,62,,,,,,,6
14,1,14,5,23.0,19,,N,13,0.0,57,,,,,,,7
15,1,15,4,21.0,5,,R,14,0.0,49,,,,,,,8
16,1,16,4,5.0,18,,R,15,0.0,44,,,,,,,9
17,1,17,5,24.0,17,,R,16,0.0,43,,,,,,,10
18,1,18,4,20.0,8,,R,17,0.0,36,,,,,,,9
19,1,19,4,19.0,11,,R,18,0.0,26,,,,,,,11
20,1,20,2,17.0,7,,R,19,0.0,8,,,,,,,12
21,1,21,3,9.0,10,,R,20,0.0,5,,,,,,,13
22,1,22,3,9.0,10,,R,20,0.0,5,,,,,,,13
23,1,23,3,8.0,12,,R,21,0.0,2,,,,,,,14
24,2,13,1,34.0,1,1.0,1,1,9.0,100,3:13:18.7,11598700.0,,,,,1
25,2,24,6,40.0,7,2.0,2,2,6.0,99,,,,,,,15
26,2,19,4,48.0,8,3.0,3,3,4.0,98,,,,,,,2
27,2,25,6,42.0,9,4.0,4,4,3.0,97,,,,,,,3
28,2,15,4,50.0,15,5.0,5,5,2.0,95,,,,,,,4
